json_data,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content,list-card-truncate
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Parsons Blvd, Flushing, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Parsons Blvd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72165,""longitude"":-73.80959},""url"":""/homedetails/Parsons-Blvd-Flushing-NY-11366/2106291336_zpid/""}",https://www.zillow.com/homedetails/Parsons-Blvd-Flushing-NY-11366/2106291336_zpid/,"Parsons Blvd, Flushing, NY 11366",Apartment for rent,"$2,500/mo",2,bds,--,ba,--,sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,E-Z Sell Realty
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9876 Queens Blvd # 66, Rego Park, NY 11374"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,125""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9876 Queens Blvd # 66"",""addressLocality"":""Rego Park"",""addressRegion"":""NY"",""postalCode"":""11374""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727258,""longitude"":-73.855756},""url"":""/homedetails/9876-Queens-Blvd-66-Rego-Park-NY-11374/2082805456_zpid/""}",https://www.zillow.com/homedetails/9876-Queens-Blvd-66-Rego-Park-NY-11374/2082805456_zpid/,"9876 Queens Blvd # 66, Rego Park, NY 11374",Apartment for rent,"$2,400/mo",2,bds,1,ba,"1,125",sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Mac NY Realty LLC
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9401 64th Rd Apt 3g, Rego Park, NY 11374"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,236""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9401 64th Rd APT 3G"",""addressLocality"":""Rego Park"",""addressRegion"":""NY"",""postalCode"":""11374""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727586,""longitude"":-73.861543},""url"":""/homedetails/9401-64th-Rd-APT-3G-Rego-Park-NY-11374/2110605168_zpid/""}",https://www.zillow.com/homedetails/9401-64th-Rd-APT-3G-Rego-Park-NY-11374/2110605168_zpid/,"9401 64th Rd APT 3G, Rego Park, NY 11374",Apartment for rent,"$2,595/mo",2,bds,2,ba,"1,236",sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Hatuka Properties
,"https://www.zillow.com/b/4634-159th-St-Flushing-NY/40.752999,-73.808108_ll/","4634 159th St, Flushing, NY",For Rent,,"$1,900+",2 bds,,,,,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13516 78th Ave, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13516 78th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.719963,""longitude"":-73.82416},""url"":""/homedetails/13516-78th-Ave-Flushing-NY-11367/2082807840_zpid/""}",https://www.zillow.com/homedetails/13516-78th-Ave-Flushing-NY-11367/2082807840_zpid/,"13516 78th Ave, Flushing, NY 11367",Apartment for rent,"$1,800/mo",2,bds,1,ba,--,sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5046 184th St, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,194""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5046 184th St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.743239,""longitude"":-73.792232},""url"":""/homedetails/5046-184th-St-Flushing-NY-11365/32052318_zpid/""}",https://www.zillow.com/homedetails/5046-184th-St-Flushing-NY-11365/32052318_zpid/,"5046 184th St, Flushing, NY 11365",Apartment for rent,"$2,200/mo",2,bds,1.5,ba,"2,194",sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Keller Williams Landmark Realty
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""77th Ave, Flushing, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,300""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""77th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72438,""longitude"":-73.80474},""url"":""/homedetails/77th-Ave-Flushing-NY-11366/2082808863_zpid/""}",https://www.zillow.com/homedetails/77th-Ave-Flushing-NY-11366/2082808863_zpid/,"77th Ave, Flushing, NY 11366",Apartment for rent,"$2,500/mo",3,bds,2,ba,"1,300",sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,viki707
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""15826 77th Rd # 2, Fresh Meadows, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,250""},""numberOfRooms"":4,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""15826 77th Rd # 2"",""addressLocality"":""Fresh Meadows"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.722932,""longitude"":-73.809033},""url"":""/homedetails/15826-77th-Rd-2-Fresh-Meadows-NY-11366/2082810133_zpid/""}",https://www.zillow.com/homedetails/15826-77th-Rd-2-Fresh-Meadows-NY-11366/2082810133_zpid/,"15826 77th Rd # 2, Fresh Meadows, NY 11366",Apartment for rent,"$2,700/mo",4,bds,2,ba,"1,250",sqft,13 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""16006 75th Rd Apt 2a, Flushing, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,002""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""16006 75th Rd APT 2A"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725848,""longitude"":-73.808349},""url"":""/homedetails/16006-75th-Rd-APT-2A-Flushing-NY-11366/2087825114_zpid/""}",https://www.zillow.com/homedetails/16006-75th-Rd-APT-2A-Flushing-NY-11366/2087825114_zpid/,"16006 75th Rd APT 2A, Flushing, NY 11366",Townhouse for rent,"$1,950/mo",2,bds,1,ba,"1,002",sqft,14 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,"Winzone Realty, Inc."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10319 68th Rd # 2, Forest Hills, NY 11375"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10319 68th Rd # 2"",""addressLocality"":""Forest Hills"",""addressRegion"":""NY"",""postalCode"":""11375""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725535,""longitude"":-73.849517},""url"":""/homedetails/10319-68th-Rd-2-Forest-Hills-NY-11375/2082813100_zpid/""}",https://www.zillow.com/homedetails/10319-68th-Rd-2-Forest-Hills-NY-11375/2082813100_zpid/,"10319 68th Rd # 2, Forest Hills, NY 11375",Apartment for rent,"$2,395/mo",2,bds,1,ba,--,sqft,14 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Contact Realty
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10243 Corona Ave # Lb4, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""650""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10243 Corona Ave # LB4"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.744388,""longitude"":-73.860197},""url"":""/homedetails/10243-Corona-Ave-LB4-Corona-NY-11368/2082815046_zpid/""}",https://www.zillow.com/homedetails/10243-Corona-Ave-LB4-Corona-NY-11368/2082815046_zpid/,"10243 Corona Ave # LB4, Corona, NY 11368",Apartment for rent,"$1,750/mo",1,bd,1,ba,650,sqft,14 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Kian Realty
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4510 Kissena Blvd, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4510 Kissena Blvd"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.751895,""longitude"":-73.82071},""url"":""/homedetails/4510-Kissena-Blvd-Flushing-NY-11355/2099659455_zpid/""}",https://www.zillow.com/homedetails/4510-Kissena-Blvd-Flushing-NY-11355/2099659455_zpid/,"4510 Kissena Blvd, Flushing, NY 11355",Apartment for rent,"$1,695/mo",1,bd,1,ba,"1,200",sqft,14 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,
,"https://www.zillow.com/b/157-02-59ave-Flushing-NY/40.740414,-73.811085_ll/","157-02 59ave, Flushing, NY",For Rent,,"$2,300+",3 bds,,,,,15 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5835 Granger St Apt 4a, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""550""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5835 Granger St APT 4A"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.738421,""longitude"":-73.853926},""url"":""/homedetails/5835-Granger-St-APT-4A-Corona-NY-11368/2116568166_zpid/""}",https://www.zillow.com/homedetails/5835-Granger-St-APT-4A-Corona-NY-11368/2116568166_zpid/,"5835 Granger St APT 4A, Corona, NY 11368",Apartment for rent,"$1,500/mo",Studio,ba,1,sqft,550,,15 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Corcoran
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14839 61st Rd Fl 2nd, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14839 61st Rd FL 2ND"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.740131,""longitude"":-73.820596},""url"":""/homedetails/14839-61st-Rd-FL-2ND-Flushing-NY-11367/2082817514_zpid/""}",https://www.zillow.com/homedetails/14839-61st-Rd-FL-2ND-Flushing-NY-11367/2082817514_zpid/,"14839 61st Rd FL 2ND, Flushing, NY 11367",Apartment for rent,"$2,200/mo",3,bds,1,ba,--,sqft,15 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Weichert Realtors
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14222 58th Ave # 1, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14222 58th Ave # 1"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.744699,""longitude"":-73.823108},""url"":""/homedetails/14222-58th-Ave-1-Flushing-NY-11355/2082818388_zpid/""}",https://www.zillow.com/homedetails/14222-58th-Ave-1-Flushing-NY-11355/2082818388_zpid/,"14222 58th Ave # 1, Flushing, NY 11355",Apartment for rent,"$2,000/mo",2,bds,1,ba,--,sqft,15 days ago,https://photos.zillowstatic.com/p_e/ISrpopc6hhouu70000000000.jpg,Save this home,E-Realty International Corp
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""45-32 Main St # 7c, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""820""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""45-32 Main St # 7C"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.751819,""longitude"":-73.827189},""url"":""/homedetails/45-32-Main-St-7C-Flushing-NY-11355/2082818772_zpid/""}",https://www.zillow.com/homedetails/45-32-Main-St-7C-Flushing-NY-11355/2082818772_zpid/,"45-32 Main St # 7C, Flushing, NY 11355",Apartment for rent,"$2,700/mo",2,bds,2,ba,820,sqft,15 days ago,https://photos.zillowstatic.com/p_e/ISbxvbrzmdi0qa0000000000.jpg,Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7118 164th St # 3, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7118 164th St # 3"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73046,""longitude"":-73.80516},""url"":""/homedetails/7118-164th-St-3-Flushing-NY-11365/2082819329_zpid/""}",https://www.zillow.com/homedetails/7118-164th-St-3-Flushing-NY-11365/2082819329_zpid/,"7118 164th St # 3, Flushing, NY 11365",Apartment for rent,"$2,600/mo",3,bds,2,ba,--,sqft,15 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.730460,-73.805160&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=foJaG9eKhT8gce2xR3slwMXLEow=",Save this home,E-Realty International Corp
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7140 112th St # 6100, Forest Hills, NY 11375"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""850""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7140 112th St # 6100"",""addressLocality"":""Forest Hills"",""addressRegion"":""NY"",""postalCode"":""11375""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.721741,""longitude"":-73.839102},""url"":""/homedetails/7140-112th-St-6100-Forest-Hills-NY-11375/2082823573_zpid/""}",https://www.zillow.com/homedetails/7140-112th-St-6100-Forest-Hills-NY-11375/2082823573_zpid/,"7140 112th St # 6100, Forest Hills, NY 11375",Apartment for rent,"$1,875/mo",1,bd,1,ba,850,sqft,16 days ago,https://photos.zillowstatic.com/p_e/ISn2cd3zjujs1b0000000000.jpg,Save this home,Contact Realty
,"https://www.zillow.com/b/9965-64th-Rd-Rego-Park-NY/40.730931,-73.854562_ll/","9965 64th Rd, Rego Park, NY",For Rent,,"$2,100+",1 bd,"$2,600",2 bds,,,16 days ago,https://photos.zillowstatic.com/p_e/ISbt83yfbw1ks01000000000.jpg,,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10427 48th Ave, Flushing, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,404""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10427 48th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.745555,""longitude"":-73.858338},""url"":""/homedetails/10427-48th-Ave-Flushing-NY-11368/31975832_zpid/""}",https://www.zillow.com/homedetails/10427-48th-Ave-Flushing-NY-11368/31975832_zpid/,"10427 48th Ave, Flushing, NY 11368",House for rent,"$1,600/mo",2,bds,1,ba,"1,404",sqft,16 days ago,https://photos.zillowstatic.com/p_e/ISbptc8hbdmi121000000000.jpg,Save this home,Keller Williams Landmark Realty
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""16028 76th Ave, Flushing, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""16028 76th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.725257,""longitude"":-73.80728},""url"":""/homedetails/16028-76th-Ave-Flushing-NY-11366/32072847_zpid/""}",https://www.zillow.com/homedetails/16028-76th-Ave-Flushing-NY-11366/32072847_zpid/,"16028 76th Ave, Flushing, NY 11366",Apartment for rent,"$1,750/mo",2,bds,1,ba,700,sqft,16 days ago,https://photos.zillowstatic.com/p_e/ISadc3gjijb6qc0000000000.jpg,Save this home,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""15814 72nd Ave, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""15814 72nd Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.727697,""longitude"":-73.810442},""url"":""/homedetails/15814-72nd-Ave-Flushing-NY-11365/68314901_zpid/""}",https://www.zillow.com/homedetails/15814-72nd-Ave-Flushing-NY-11365/68314901_zpid/,"15814 72nd Ave, Flushing, NY 11365",House for rent,"$2,200/mo",2,bds,2,ba,900,sqft,16 days ago,https://photos.zillowstatic.com/p_e/ISzvusedxlm0wi1000000000.jpg,Save this home,BOLD REALTY CORP
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""159th St, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""159th St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73884,""longitude"":-73.80939},""url"":""/homedetails/159th-St-Flushing-NY-11365/2090386982_zpid/""}",https://www.zillow.com/homedetails/159th-St-Flushing-NY-11365/2090386982_zpid/,"159th St, Flushing, NY 11365",Apartment for rent,"$2,100/mo",3,bds,2,ba,"1,000",sqft,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Mayflower Realty Associates Inc.
,https://www.zillow.com/b/auburn-flushing-ny-6Y6f/,"Auburn | 13720 45th Ave, Flushing, NY",Auburn,,"$1,673+",1 bd,,,,,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6336 99th St Apt 7c, Flushing, NY 11374"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,250""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6336 99th St APT 7C"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11374""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73251,""longitude"":-73.85704},""url"":""/homedetails/6336-99th-St-APT-7C-Flushing-NY-11374/121722878_zpid/""}",https://www.zillow.com/homedetails/6336-99th-St-APT-7C-Flushing-NY-11374/121722878_zpid/,"6336 99th St APT 7C, Flushing, NY 11374",Apartment for rent,"$4,000/mo",2,bds,2.5,ba,"1,250",sqft,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Metro Net Realty
,"https://www.zillow.com/b/6421-Booth-St-Rego-Park-NY/40.728207,-73.861361_ll/","6421 Booth St, Rego Park, NY",For Rent,,"$1,795",1 bd,"$2,550",2 bds,,,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""170th St, Flushing, NY 11365"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""170th St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11365""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.73656,""longitude"":-73.79922},""url"":""/homedetails/170th-St-Flushing-NY-11365/2082832581_zpid/""}",https://www.zillow.com/homedetails/170th-St-Flushing-NY-11365/2082832581_zpid/,"170th St, Flushing, NY 11365",Townhouse for rent,"$2,275/mo",2,bds,--,ba,--,sqft,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Carollo Real Estate
,https://www.zillow.com/b/parker-towers-queens-ny-5Y2mmW/,"Parker Towers | 10420 Queens Blvd, Forest Hills, NY",Parker Towers,,"$2,970",2 bds,"$4,260+",4 bds,,,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13518 78th Ave, Flushing, NY 11367"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13518 78th Ave"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11367""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.71989,""longitude"":-73.8241},""url"":""/homedetails/13518-78th-Ave-Flushing-NY-11367/2082835721_zpid/""}",https://www.zillow.com/homedetails/13518-78th-Ave-Flushing-NY-11367/2082835721_zpid/,"13518 78th Ave, Flushing, NY 11367",Apartment for rent,"$1,800/mo",2,bds,1,ba,700,sqft,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,The Realty Depot
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""173rd St, Flushing, NY 11366"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,552""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""173rd St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11366""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72765,""longitude"":-73.79663},""url"":""/homedetails/173rd-St-Flushing-NY-11366/2082837138_zpid/""}",https://www.zillow.com/homedetails/173rd-St-Flushing-NY-11366/2082837138_zpid/,"173rd St, Flushing, NY 11366",House for rent,"$1,600/mo",1,bd,1,ba,"1,552",sqft,16 days ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home,Century21
